,match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,total_goals,goal_diff,HSA
72,3890503,2016-04-02,15:30:00.000,Germany - 1. Bundesliga,2015/2016,FSV Mainz 05,Augsburg,4,2,available,unscheduled,2023-08-03T05:08:26.422509,,28,Regular Season,Mewa Arena,Patrick Ittrich,Martin Schmidt,Markus Weinzierl,1.1.0,2,2,6,2,1
90,3890485,2016-03-12,16:30:00.000,Germany - 1. Bundesliga,2015/2016,Ingolstadt,VfB Stuttgart,3,3,available,unscheduled,2023-07-19T14:27:54.589112,,26,Regular Season,Audi-Sportpark,Manuel Gräfe,Ralph Hasenhüttl,Jürgen Kramny,1.1.0,2,2,6,0,1
98,3890477,2016-03-05,16:30:00.000,Germany - 1. Bundesliga,2015/2016,Augsburg,Bayer Leverkusen,3,3,available,unscheduled,2023-07-24T09:18:59.971988,,25,Regular Season,WWK Arena,Markus Schmidt,Markus Weinzierl,Roger Schmidt,1.1.0,2,2,6,0,1
142,3890433,2016-02-06,16:30:00.000,Germany - 1. Bundesliga,2015/2016,Eintracht Frankfurt,VfB Stuttgart,2,4,available,unscheduled,2023-07-13T19:21:29.338847,,20,Regular Season,Deutsche Bank Park,Peter Sippel,Armin Veh,Jürgen Kramny,1.1.0,2,2,6,2,1
150,3890425,2016-01-30,16:30:00.000,Germany - 1. Bundesliga,2015/2016,Werder Bremen,Hertha Berlin,3,3,available,unscheduled,2023-07-16T19:16:55.415276,,19,Regular Season,Wohninvest Weserstadion ,Bastian Dankert,Viktor Skripnik,Pál Dárdai,1.1.0,2,2,6,0,1
191,3890377,2015-11-28,16:30:00.000,Germany - 1. Bundesliga,2015/2016,Hoffenheim,Borussia Mönchengladbach,3,3,available,unscheduled,2023-07-16T00:43:36.210769,,14,Regular Season,PreZero Arena,Michael Weiner,Huub Stevens,André Schubert,1.1.0,2,2,6,0,1
214,3890354,2015-10-31,16:30:00.000,Germany - 1. Bundesliga,2015/2016,Augsburg,FSV Mainz 05,3,3,available,unscheduled,2023-07-12T23:13:22.707283,,11,Regular Season,WWK Arena,Marco Fritz,Markus Weinzierl,Martin Schmidt,1.1.0,2,2,6,0,1
222,3890346,2015-10-24,15:30:00.000,Germany - 1. Bundesliga,2015/2016,Bayer Leverkusen,VfB Stuttgart,4,3,available,unscheduled,2023-08-05T12:28:04.749075,,10,Regular Season,BayArena,Felix Brych,Roger Schmidt,Alexander Zorniger,1.1.0,2,2,7,1,1
233,3890335,2015-10-17,15:30:00.000,Germany - 1. Bundesliga,2015/2016,Wolfsburg,Hoffenheim,4,2,available,unscheduled,2023-07-11T17:55:45.958955,,9,Regular Season,Volkswagen Arena,Felix Brych,Dieter Hecking,Markus Gisdol,1.1.0,2,2,6,2,1
260,3890308,2015-09-23,20:00:00.000,Germany - 1. Bundesliga,2015/2016,Borussia Mönchengladbach,Augsburg,4,2,available,unscheduled,2023-07-25T09:12:13.309852,,6,Regular Season,Stadion im BORUSSIA-PARK,Daniel Siebert,André Schubert,Markus Weinzierl,1.1.0,2,2,6,2,1
276,3890292,2015-09-12,15:30:00.000,Germany - 1. Bundesliga,2015/2016,Hannover 96,Borussia Dortmund,2,4,available,unscheduled,2023-07-30T15:17:08.547878,,4,Regular Season,Heinz von Heiden-Arena,Daniel Siebert,Michael Frontzeck,Thomas Tuchel,1.1.0,2,2,6,2,1
42,3920397,2024-01-18,16:00:00.000,Africa - African Cup of Nations,2023,Equatorial Guinea,Guinea-Bissau,4,2,available,unscheduled,2024-02-01T16:08:33.425930,,2,Group Stage,Stade Olympique Alassane Ouattara,Samuel Uwikunda,Juan Micha Obiang Bicogo,Baciro Candé,1.1.0,2,2,6,2,1
0,2302764,2005-05-25,,Europe - Champions League,2004/2005,AC Milan,Liverpool,3,3,available,scheduled,2021-04-01T06:18:57.459032,2021-06-13T16:17:31.694,1,Final,Atatürk Olimpiyat Stadı,,,,1.1.0,2,2,6,0,1
47,3775561,2020-10-18,13:30:00.000,England - FA Women's Super League,2020/2021,West Ham United LFC,Manchester United,2,4,available,scheduled,2022-08-16T01:00:32.348260,2021-06-13T16:17:31.694,5,Regular Season,Chigwell Construction Stadium,Ryan Atkin,Matt Beard,Casey Stoney,1.1.0,2,2,6,2,1
13,2275105,2020-02-23,15:00:00.000,England - FA Women's Super League,2019/2020,Manchester City WFC,Chelsea FCW,3,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,17,Regular Season,Academy Stadium ,Rebecca Welch,Alan Mahon,Emma Hayes,1.1.0,2,2,6,0,1
27,2275122,2019-11-17,15:00:00.000,England - FA Women's Super League,2019/2020,Reading WFC,Bristol City WFC,3,3,available,scheduled,2023-07-25T01:00:17.860861,2021-06-13T16:17:31.694,6,Regular Season,Select Car Leasing Stadium,Kirsty Dowle,Kelly Chambers,Tanya Oxtoby,1.1.0,2,2,6,0,1
80,2275133,2020-02-23,16:00:00.000,England - FA Women's Super League,2019/2020,West Ham United LFC,Liverpool WFC,4,2,available,scheduled,2022-12-01T11:59:06.730155,2021-06-13T16:17:31.694,17,Regular Season,The Rush Green Stadium,Matthew Russell,Matt Beard,Victoria Jepson,1.1.0,2,2,6,2,1
