,id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,outcome_id,outcome_name,counterpress,under_pressure,dribble_overrun,pass_cross,pass_cut_back,off_camera,out,aerial_won,pass_switch,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,technique_id,technique_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,end_z,shot_key_pass_id,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,substitution_replacement_id,substitution_replacement_name,shot_first_time,shot_one_on_one,pass_deflected,pass_goal_assist,pass_no_touch,block_offensive,block_deflection,injury_stoppage_in_chain,block_save_block,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,shot_deflected,shot_open_goal,ball_recovery_offensive,pass_miscommunication,player_off_permanent,dribble_no_touch,foul_committed_penalty,foul_won_penalty,shot_follows_dribble,shot_redirect
0,f4889f42-cf51-4c27-8c8d-d57040b17ce1,368,1,00:10:08,10,8,26,1.123674,3827767,16,Shot,7289,Hyderabad,4,From Throw In,7289,Hyderabad,,164490.0,Souvik Chakrabarti,9.0,Right Defensive Midfield,,,,,,,119.0,38.7,40.0,Right Foot,87.0,Open Play,79.45,16.15,100.0,Saved,,,,,,,,,,,,,93.0,Normal,,,0.0068775634,1.3,1d1d0301-ffc4-422f-9a77-892928930acf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3e3c20ab-5233-479f-877e-73b94d01a963,495,1,00:13:50,13,50,31,0.967366,3827767,16,Shot,7283,Kerala Blasters,4,From Throw In,7283,Kerala Blasters,,28251.0,Jorge Rolando Pereyra Díaz,22.0,Right Center Forward,,,,,,,120.0,35.4,37.0,Head,87.0,Open Play,97.825,33.404999999999994,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.19758572,1.6,710cd26e-beb3-4736-971f-b828f9c533e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,f6fa4021-385f-4353-9e41-81a9ade1d2ac,731,1,00:20:16,20,16,44,1.271256,3827767,16,Shot,7283,Kerala Blasters,3,From Free Kick,7283,Kerala Blasters,,163354.0,Rahul Kannoly Praveen,12.0,Right Midfield,,,,,,,120.0,45.6,40.0,Right Foot,87.0,Open Play,82.1625,41.735,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.03577913,5.9,a94094b3-2c33-482f-9749-466132745ee9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3c75ac72-8c43-4ca4-b6f4-2d38dc58c8c7,1069,1,00:29:18,29,18,68,0.216327,3827767,16,Shot,7283,Kerala Blasters,4,From Throw In,7283,Kerala Blasters,,26304.0,Adrián Nicolás Luna Retamar,16.0,Left Midfield,,,,,,,94.5,22.3,40.0,Right Foot,87.0,Open Play,78.925,15.98,96.0,Blocked,,,,,,,,,,,,,93.0,Normal,,,0.006838626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49c30b55-a2df-4b6e-84fa-101457ed2d08,1356,1,00:38:25,38,25,82,0.962666,3827767,16,Shot,7283,Kerala Blasters,7,From Goal Kick,7283,Kerala Blasters,,24035.0,Álvaro Vázquez García,24.0,Left Center Forward,,,,,,,119.9,37.6,40.0,Right Foot,87.0,Open Play,91.4375,47.515,99.0,Post,,,,,,,,,,,,,93.0,Normal,,,0.031175608,2.8,0eadbf2a-6a63-4c27-8d4f-faa31e335d6c,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
5,e6c21735-9791-43f8-ac6b-5e18782df505,1360,1,00:38:27,38,27,82,0.829176,3827767,16,Shot,7283,Kerala Blasters,7,From Goal Kick,7283,Kerala Blasters,,28251.0,Jorge Rolando Pereyra Díaz,22.0,Right Center Forward,,,,,,,110.2,39.7,38.0,Left Foot,87.0,Open Play,97.125,21.165,101.0,Wayward,,1.0,,,,,,,,,,,91.0,Half Volley,,,0.041324764,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
6,7bd0743e-8b06-4292-b33f-1d5cd8bdfa26,1435,1,00:40:47,40,47,86,1.102571,3827767,16,Shot,7283,Kerala Blasters,3,From Free Kick,7283,Kerala Blasters,,163357.0,Lalthathanga Khawlhring,11.0,Left Defensive Midfield,,,,,,,120.0,45.8,38.0,Left Foot,87.0,Open Play,78.1375,43.17999999999999,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.018697426,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0498726a-bc2c-4ff9-ae79-7a61a24820f0,1601,1,00:45:40,45,40,93,0.5348,3827767,16,Shot,7289,Hyderabad,3,From Free Kick,7289,Hyderabad,,41858.0,Javier Siverio Toro,22.0,Right Center Forward,,,,,,,119.1,36.8,37.0,Head,87.0,Open Play,96.8625,28.220000000000006,100.0,Saved,,,,,,,,,,,,,93.0,Normal,,,0.07827923,0.7,af9c223e-6edd-46ca-8cbc-356c276afc76,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
8,634a3e52-38d5-4804-8904-8005defb69fe,1760,2,00:03:05,48,5,104,1.129603,3827767,16,Shot,7289,Hyderabad,3,From Free Kick,7289,Hyderabad,,26675.0,João Victor de Albuquerque Bruno,11.0,Left Defensive Midfield,,,,,,,117.8,37.9,40.0,Right Foot,87.0,Open Play,77.6125,39.015,100.0,Saved,,,,,,,,,,,,,93.0,Normal,,,0.023992674,0.6,44a95a09-3f96-47cb-adc0-365fc75960d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,41c752ca-0121-4090-a8c1-685a10fa057e,2057,2,00:09:52,54,52,118,0.3458,3827767,16,Shot,7289,Hyderabad,1,Regular Play,7289,Hyderabad,,26186.0,Bartholomew Owogbalor Ogbeche,24.0,Left Center Forward,,,,,,,120.0,42.6,40.0,Right Foot,87.0,Open Play,93.3625,41.225,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.09305495,4.5,8e86b072-10f3-4425-85a2-132b7a56e6f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,86dbd9bc-0440-4b19-9dfb-89927444bdf0,2147,2,00:13:44,58,44,124,1.607443,3827767,16,Shot,7283,Kerala Blasters,6,From Counter,7283,Kerala Blasters,,163357.0,Lalthathanga Khawlhring,11.0,Left Defensive Midfield,,,,,,,120.0,49.3,38.0,Left Foot,87.0,Open Play,81.025,28.05,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.032857098,0.4,df37722f-5bb1-4542-aaa6-831975bc6c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,a10836e8-28f3-4ab4-b250-1dec9756559b,2264,2,00:16:52,61,52,132,0.691122,3827767,16,Shot,7289,Hyderabad,1,Regular Play,7289,Hyderabad,,26186.0,Bartholomew Owogbalor Ogbeche,24.0,Left Center Forward,,,,,,,118.7,40.7,40.0,Right Foot,87.0,Open Play,89.425,40.205,100.0,Saved,,,,,,,,,,,,,93.0,Normal,,,0.053034723,0.2,dac4e3d6-87e8-42ca-89c6-739dd63f2ca1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,acd9662b-e988-4e78-98f1-6f7b6194a7d1,2369,2,00:19:33,64,33,137,0.002698,3827767,16,Shot,7289,Hyderabad,4,From Throw In,7289,Hyderabad,,41858.0,Javier Siverio Toro,22.0,Right Center Forward,,,,,,,103.5,41.4,40.0,Right Foot,87.0,Open Play,90.0375,35.275,96.0,Blocked,,,,,,,,,,,,,93.0,Normal,,,0.03701639,,a154b34e-f3eb-4b4c-be61-f1d2b9b2897b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,eadaaccd-319b-4275-af68-47701b7c2433,2448,2,00:22:55,67,55,145,1.405362,3827767,16,Shot,7283,Kerala Blasters,1,Regular Play,7283,Kerala Blasters,,163354.0,Rahul Kannoly Praveen,12.0,Right Midfield,,,,,,,120.0,43.4,40.0,Right Foot,87.0,Open Play,86.625,43.86,97.0,Goal,,,,,,,,,,,,,93.0,Normal,,,0.061114587,0.2,e077c3ef-58a3-4d00-9765-7f8122e99779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,932ffe4b-43f7-4ebc-b153-c9f1cee64235,2477,2,00:25:26,70,26,147,0.196692,3827767,16,Shot,7289,Hyderabad,4,From Throw In,7289,Hyderabad,,164489.0,Halicharan Narzary,16.0,Left Midfield,,,,,,,107.7,27.7,40.0,Right Foot,87.0,Open Play,93.1,22.439999999999998,96.0,Blocked,,,,,,,,,,,,,93.0,Normal,,,0.032599345,,ae6b96fd-a576-4cf4-b9ba-a2a5d973befa,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
